progress,finished,attention_1,attention_2,attention_3,attention_1_fail,attention_2_fail,attention_3_fail,q1_g20,q2_g20,q3_g20,q4_g20,q5_g20,q6_g20,q7_g20,q8_g20,q9_g20,q10_g20,q11_g20,q12_g20,q13_g20,q14_g20,q15_g20,q16_g20,q17_g20,q18_g20,q19_g20,q20_g20,q16_g5,q17_g5,q18_g5,q19_g5,q20_g5,method_description,time_q1,time_q2,time_q3,time_q4,time_q5,time_q6,time_q7,time_q8,time_q9,time_q10,time_q11,time_q12,time_q13,time_q14,time_q15,time_q16,time_q17,time_q18,time_q19,time_q20,history_q1,history_q2,history_q3,history_q4,history_q5,history_q6,history_q7,history_q8,history_q9,history_q10,history_q11,history_q12,history_q13,history_q14,history_q15,history_q16,history_q17,history_q18,history_q19,history_q20,button_2_to_1,button_3_to_2,button_4_to_3,button_5_to_4,history_a1,history_a2,history_a3,history_a1_fail,history_a2_fail,history_a3_fail,time_button_2_to_1,time_button_3_to_2,time_button_4_to_3,time_button_5_to_4,button_1_to_2,button_2_to_3,button_3_to_4,button_4_to_5,time_button_1_to_2,time_button_2_to_3,time_button_3_to_4,time_button_4_to_5,setting
100,1,2,1,2,,,,5,5,5,5,5,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,,,,,,If 300 was the best I took the # correct and divided it for the percentage,"1661457380960","1661457384646","1661457387871","1661457389066","1661457391307","1661457404504","1661457405399","1661457408905","1661457411870","1661457413070","1661457418047","1661457419256","1661457422244","1661457424978","1661457425979","1661457433291","1661457434295","1661457437520","1661457438262","1661457441021","5","5","5","5","5","4","4","5","4","4","4","5","4","4","4","4","4","5","4","4",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457396909","1661457415850","1661457427852","1661457441847",27
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,4,5,5,4,5,"I estimated that the higher answers were among the best ranking scores. With the lower answers, they were only a bit lower then higher scores, so I put them one rank below.",,,,,,,,,,,,,,,,"1661457379497","1661457380999","1661457382345","1661457383872","1661457387688",,,,,,,,,,,,,,,,"4","5","5","4","5",,,,,"2","2","2","2","1","2",,,,,,,,1,,,,"1661457388600",77
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,3,"This appeared to be a fairly high scoring unit, so the percentiles were likely representing numbers from 215 to perhaps 300.",,,,,,,,,,,,,,,,"1661457449888, 1661457455808","1661457457288","1661457459255","1661457461442, 1661457466703","1661457468477",,,,,,,,,,,,,,,,"4, 3","3","4","5, 4","3",,,,,"2","2, 1","2",,,,,,,,,,,1,,,,"1661457469788",68
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,5,"I used the average score to determine, from what limited sample I had, the best approximation I could knowing nothing else about other particpant scores.",,,,,,,,,,,,,,,,"1661457399328","1661457401927","1661457412618","1661457444715, 1661457448977","1661457450173",,,,,,,,,,,,,,,,"4","4","3","3, 4","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457459602",10
100,1,2,1,2,,,,1,3,2,3,3,2,3,3,5,3,3,1,5,3,4,1,2,2,2,4,,,,,,"Looking at all of the scores as a whole, there were a lot that fell in the 230-250 range. This gave me the idea that scores in that range were probably about average, and so likely fell in the 40%-60% range. Then from there, anything around 270+ seemed to be 80%-100% since very few other scores were that high, and same goes with anything in the 200-215 range (which I ranked as 0%-20%). From that I gave scores in the 216-229 and 251-269 ranges 20%-40% and 60%-80% ranks, respectively.","1661457220005, 1661457295321","1661457239125, 1661457299167","1661457232752, 1661457299789","1661457229108, 1661457301172","1661457231617, 1661457302576","1661457261367","1661457259179","1661457264179","1661457254544","1661457266057","1661457281904","1661457271932","1661457279494","1661457277626","1661457276695","1661457307935","1661457309489","1661457310149","1661457311889","1661457320710","2, 1","4, 3","3, 2","4, 3","4, 3","2","3","3","5","3","3","1","5","3","4","1","2","2","2","4",1,1,1,,"2","1","2",,,,"1661457292936","1661457287656","1661457314793",,2,2,2,1,"1661457248651, 1661457303761","1661457268922, 1661457305168","1661457306259, 1661457318955","1661457322372",22
100,1,2,1,2,,,,2,4,5,2,3,2,4,2,3,3,4,3,3,1,3,2,3,2,3,4,,,,,,"After seeing all the numbers 260 seemed the be the top end of scores, the lowest ~207 I think was put into the lowest bin. In between was difficult and kind of 220 as the break between 20-40 and 40-60. 235ish and above 60-80 and 245/250 and above for 80-100","1661457304850, 1661457311641, 1661457345854","1661457309186, 1661457309963, 1661457353165","1661457315262","1661457320917, 1661457329440, 1661457333709, 1661457334393, 1661457334906, 1661457335884, 1661457355024, 1661457362332","1661457322794","1661457372812","1661457381783","1661457383414","1661457385581","1661457387352","1661457392799","1661457394376","1661457397182","1661457398669","1661457400459, 1661457400863","1661457405949","1661457408652","1661457410529","1661457412091","1661457414461","4, 3, 2","2, 3, 4","5","3, 4, 3, 4, 3, 2, 3, 2","3","2","4","2","3","3","4","3","3","1","2, 3","2","3","2","3","4",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457368503","1661457389230","1661457402842","1661457416017",89
100,1,2,1,2,,,,4,4,4,4,3,3,3,2,4,4,3,5,4,4,3,5,3,3,4,2,,,,,,I looked at the highest value and compared it to the lowest value to figure out a middle point. ,"1661457424830","1661457427083","1661457432204","1661457435378","1661457440089","1661457448516","1661457452115","1661457456731","1661457459315","1661457461463","1661457468051","1661457471155","1661457474423","1661457478679","1661457480609","1661457489717","1661457493306","1661457496084","1661457497986","1661457502201","4","4","4","4","3","3","3","2","4","4","3","5","4","4","3","5","3","3","4","2",,,,,"2","1","2",,,,,,,,1,1,2,1,"1661457442593","1661457463609","1661457482642, 1661457485597","1661457504234",60
100,1,2,1,2,,,,4,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,4,4,5,5,,,,,,"I divided the maximum 300 points into 5 sections of 60 points each, where 20% is 60 points, 40% 120 etc. Then I assigned the given values to specific intervals.","1661456915496, 1661456932073, 1661457244871","1661456928679, 1661457280103","1661456951432, 1661457276774","1661456954216, 1661457322823","1661456960728, 1661456964840, 1661457320751","1661456976176, 1661457328527","1661456978463, 1661457330991","1661456980455, 1661457332279","1661457023447, 1661457353303","1661457027679, 1661457354839","1661457035504, 1661457048583, 1661457360104","1661457037310, 1661457367752","1661457040695, 1661457368975","1661457046816, 1661457374022","1661457053944, 1661457378800","1661457057672, 1661457383263","1661457058999, 1661457385022","1661457060735, 1661457386070","1661457062271, 1661457387662","1661457063855, 1661457389150","4, 3, 4","4, 5","4, 5","4, 5","3, 4, 5","3, 4","4, 5","4, 5","2, 4","4, 5","2, 3, 4","4, 5","4, 5","3, 4","4, 5","4, 5","3, 4","3, 4","4, 5","4, 5",1,1,1,1,"2","1","2",,,,"1661457238624","1661457236905","1661457235152","1661457232890",2,2,2,2,"1661456972089, 1661457326000","1661457029425, 1661457356377","1661457055144, 1661457379688","1661457065128, 1661457390129",12
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,5,Seeing a high number of high scores makes me think that it is a common occurrence thus higher in ranking ,,,,,,,,,,,,,,,,"1661457507703","1661457502644","1661457501028","1661457512621","1661457495316",,,,,,,,,,,,,,,,"4","5","5","4","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457514987",76
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,3,"The lowest score is already very high (220). Thus, I reckon that 220 will be the worst score percentile. 223 is in between the worst and second worst. 244 is quite high compares to the first 3 scores, so I put it in the third percentile.",,,,,,,,,,,,,,,,"1661457380414","1661457383629, 1661457401626","1661457389592","1661457365594","1661457404873",,,,,,,,,,,,,,,,"1","2, 4","2","1","3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457416526",97
100,1,2,2,2,2,1,2,4,3,5,4,3,4,4,5,4,5,4,5,3,4,2,2,3,3,2,3,,,,,,I am not really sure.,"1661457359003","1661457361071","1661457370064","1661457374296","1661457382081","1661457394071","1661457398215","1661457403528","1661457408007","1661457434057","1661457444297","1661457445888","1661457452297","1661457456492","1661457465040","1661457474000","1661457478359","1661457482952","1661457484791","1661457489707","4","3","5","4","3","4","4","5","4","5","4","5","3","4","2","2","3","3","2","3",,,,,"2","2","2","2","1","2",,,,,1,1,1,1,"1661457385872","1661457437553","1661457470187","1661457492323",59
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,4,5,"I made a decisions on the first one to be 40-60 because it seemed like a middle point on the scale. If the number was higher than that I put it on a higher part of the scale, like 60-80, but if it was lower than the number I put it on a lower part of the scale, like 20-40. The numbers where really close together, but I remembered that I was only be seeing a small part of the scale, and not the whole thing.",,,,,,,,,,,,,,,,"1661457295832, 1661457324571","1661457300805","1661457306341","1661457313151","1661457335659",,,,,,,,,,,,,,,,"4, 3","4","3","4","5",,,,,"2","2, 1","2",,,,,,,,,,,1,,,,"1661457339245",55
100,1,2,1,2,,,,4,4,4,5,3,5,3,3,3,4,4,2,3,2,4,2,2,3,2,3,,,,,,guessed,"1661457490816","1661457492568","1661457513433","1661457496399","1661457507311","1661457520862","1661457522736","1661457525191","1661457528035","1661457530755","1661457535411","1661457540087","1661457546353, 1661457548829, 1661457551243","1661457553047","1661457554727","1661457558497","1661457559862","1661457562449","1661457565273","1661457567322","4","4","4","5","3","5","3","3","3","4","4","2","3, 2, 3","2","4","2","2","3","2","3",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457517440","1661457532346","1661457556197","1661457568921",70
100,1,2,1,2,,,,2,4,5,3,3,5,5,5,2,1,1,4,3,3,1,2,1,4,2,4,,,,,,"I initially just took the percentage of the given number out of 300, then I realized everything was in the 60-100% brackets, and thought back to the initial example. I went back, put every single number in an excel sheet, sorted in order, then applied each group (0-20%, 20-40%, 40-60%, 60-80%, 80-100%) to 4 from lowest to highest to essentially rank across a bell curve.","1661457108651, 1661457443873","1661457125864, 1661457446538","1661457131994","1661457137638, 1661457452834","1661457142195, 1661457456133","1661457150243","1661457153547","1661457158120","1661457165474, 1661457471291","1661457173508, 1661457474988","1661457191227, 1661457480131","1661457192694","1661457193695, 1661457485129","1661457194572, 1661457487770","1661457195445, 1661457196252, 1661457199862, 1661457490421","1661457209125, 1661457495531","1661457210435, 1661457497376","1661457215699","1661457216737, 1661457503142","1661457217669","4, 2","5, 4","5","4, 3","4, 3","5","5","5","4, 2","4, 1","4, 1","4","4, 3","4, 3","4, 3, 4, 1","4, 2","4, 1","4","4, 2","4",2,2,2,2,"2","1","2",,,,"1661457226961, 1661457438322","1661457225051, 1661457436747","1661457222997, 1661457435139","1661457221197, 1661457363195",3,3,3,4,"1661457143902, 1661457248956, 1661457457298","1661457174549, 1661457260749, 1661457476083","1661457200901, 1661457273727, 1661457491348","1661457206242, 1661457218727, 1661457287779, 1661457508103",94
100,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,I thought back to the chart I had used previously to determine my choices. ,,,,,,,,,,,,,,,,"1661457329414","1661457332870","1661457336256","1661457338273","1661457340281",,,,,,,,,,,,,,,,"5","5","5","5","5",,,,1,"2","1","1","2","1","2",,,,"1661457361513",,,,2,,,,"1661457341514, 1661457371552",59
98,0,2,1,2,,,,5,5,4,5,4,5,4,5,4,4,4,4,5,4,5,4,5,5,4,4,,,,,,"Since a perfect score was 300, I concluded that anything above 240 was in the 80-100 category. 215 to 239 was in the 60-80 category. Below 215 was in the 40-60 category.","1661453803104","1661453807553","1661453809919","1661453814468","1661453817968","1661453833258, 1661453875821","1661453837230","1661453843702, 1661453878454","1661453845472","1661453849802","1661453886361","1661453888371","1661453891037","1661453893018","1661453894919","1661453903304","1661453904773","1661453906938","1661453914137, 1661453916187","1661453917289","5","5","4","5","4","4, 5","4","4, 5","4","4","4","4","5","4","5","4","5","5","3, 4","4",1,,,,"2","1","2",,,,"1661453853255",,,,2,1,1,1,"1661453828072, 1661453870236","1661453882888","1661453897690","1661453919240",84
100,1,2,1,2,,,,4,3,5,4,3,3,2,4,1,4,5,5,5,4,2,5,3,2,5,1,,,,,,The lower the number the better the score it had. ,"1661457543451","1661457542325","1661457526247","1661457531355","1661457535124","1661457558455","1661457557210, 1661457568974","1661457555673","1661457554464","1661457552737","1661457573974","1661457575014","1661457577983","1661457580313","1661457581261","1661457589839","1661457590368, 1661457591895, 1661457592181","1661457593473","1661457597133","1661457599052","4","3","5","4","3","3","3, 2","4","1","4","5","5","5","4","2","5","4, 2, 3","2","5","1",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457545263","1661457570596","1661457582088","1661457599935",15
100,1,2,1,2,,,,3,4,5,3,4,4,3,3,4,3,4,4,5,3,3,3,4,4,3,5,,,,,,Anything above the area of 230 I felt comfortable was within the 60-80% mark and so with that I started to move and look at those scores around it to judge what was lower or higher. ,"1661457550018","1661457562114","1661457563507","1661457565506","1661457567267","1661457570523, 1661457577306","1661457571602","1661457572450","1661457574162","1661457575234","1661457581299","1661457582370","1661457584019","1661457585738","1661457589434","1661457592379","1661457612851","1661457613762","1661457614731","1661457616203","3","4","5","3","4","3, 4","3","3","4","3","4","4","5","3","3","3","4","4","3","5",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457568044","1661457578931","1661457590116","1661457616820",6
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,3,5,I compared the scores and assumed that a score within about 35 of 300 would be in the highest percentile because that is approximately 90% correct,,,,,,,,,,,,,,,,"1661457609787","1661457614793","1661457617486, 1661457622199","1661457625947","1661457627766",,,,,,,,,,,,,,,,"5","3","3, 4","3","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457633381",96
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,2,4,I compared the various scores to see what seemed to be an average among them and tried scoring them appropriately.,,,,,,,,,,,,,,,,"1661457578790","1661457570804","1661457581771","1661457584415","1661457575078",,,,,,,,,,,,,,,,"3","5","3","2","4",,,,,"2","1","2, 2",,,,,,,,,,,1,,,,"1661457593824",33
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,1,5,I used a curve basis for giving value to the scores. This is often used at the university level when scores don't fit the 100% scoring method.,,,,,,,,,,,,,,,,"1661457539393","1661457566199","1661457571641","1661457577526","1661457554177",,,,,,,,,,,,,,,,"4","3","2","1","5",,,,,"2","1","1, 2",,,,,,,,,,,1,,,,"1661457582633",74
100,1,2,1,2,,,,5,4,4,4,4,4,4,5,4,5,4,4,5,4,5,4,4,4,4,5,,,,,,"I divided 300 by 5 so each category is based on 60 points differences. So the 80%-100% would be between 240-300, 60%-80% is 180-240 and so on.","1661457478351","1661457480698","1661457488673","1661457496038","1661457497725","1661457506878","1661457509070","1661457510215","1661457511269","1661457512734","1661457523175","1661457524629","1661457526286","1661457527686","1661457529038","1661457532056","1661457533910","1661457534971","1661457539414","1661457541061","5","4","4","4","4","4","4","5","4","5","4","4","5","4","5","4","4","4","4","5",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457500820","1661457519665","1661457530440","1661457541977",52
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,3,5,"I grouped the average range of the scores. First I looked at what was the highest. And then focused on the lowest. With those two values, I could create an average median, and then I used that as a basis to group the scores.",,,,,,,,,,,,,,,,"1661457603209, 1661457611258","1661457608253","1661457612772","1661457618730","1661457623174",,,,,,,,,,,,,,,,"5, 4","3","5","3","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457624891",94
100,1,2,1,2,,,,4,4,5,5,4,5,5,5,4,4,5,5,4,3,5,3,3,3,4,3,,,,,,"I thought about the overall scores, and scores in relation to one another.","1661457551778","1661457568702","1661457571629","1661457574341","1661457579583","1661457592235","1661457594440","1661457596303, 1661457599183","1661457601764","1661457604844","1661457610463","1661457614895","1661457617917","1661457622709","1661457626431","1661457631803","1661457636255","1661457638470","1661457641165","1661457646351","4","4","5","5","4","5","5","4, 5","4","4","5","5","4","3","5","3","3","3","4","3",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457584348","1661457606613","1661457628005","1661457647569",26
100,1,2,1,2,,,,1,2,2,1,1,1,1,3,3,1,1,3,3,2,1,2,1,4,4,4,,,,,,I was using a similar method like the pretest and didn't want to have a large value of numbers equaling a certain score.,"1661457612946, 1661457617147","1661457618427","1661457620190","1661457625973","1661457626902","1661457636957","1661457637790","1661457639890","1661457641306","1661457642927","1661457646578","1661457647603","1661457648727","1661457650023","1661457651322","1661457655470","1661457656318","1661457658923","1661457659959","1661457662430","2, 1","2","2","1","1","1","1","3","3","1","1","3","3","2","1","2","1","4","4","4",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457633212","1661457644847","1661457652219","1661457663490",64
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,4,"250 was the highest so obviously they were in the top percentage, as far as I know. And 225 was the lowest, but still pretty high on the range, so I figured they also did well",,,,,,,,,,,,,,,,"1661457607338, 1661457622565","1661457610282, 1661457621111","1661457611774, 1661457618801","1661457613725","1661457614595, 1661457616297",,,,,,,,,,,,,,,,"5, 4","5, 4","5, 4","5","5, 4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457625779",9
100,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1",,,,,,,,,,,,,
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,5,4,"Since all the scores were so high, I tried to base everything off thinking ~220 would be on the low-ish end, then work up from there.",,,,,,,,,,,,,,,,"1661457524996, 1661457542253","1661457545681","1661457547486","1661457536024","1661457577288",,,,,,,,,,,,,,,,"4, 2","2","3","5","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457590065",3
100,1,2,1,2,,,,2,5,3,3,5,1,2,2,4,4,2,4,1,3,3,2,1,2,3,2,,,,,,"As I went along I tried to get an idea of how many scores were in each 10 point range from 200-300. No one was under 200 so the closer to 200 went in 0-20%. Also only 2 scores I think were above 270, so that became the mark for the 80-100%. The average score seemed to be in the 230s so that became my average for 40-60. The filled in the remaining scores where they fit either above/below average but not the threshold for the best or worst.","1661457066779, 1661457074895","1661457055557, 1661457135081","1661457071979, 1661457123085, 1661457263752","1661457070788, 1661457123917, 1661457262783","1661457050889, 1661457137181","1661457151176","1661457154992","1661457153745","1661457141413","1661457142803","1661457161957","1661457163681, 1661457187087","1661457164935","1661457190726, 1661457195087, 1661457245028, 1661457248943, 1661457281344","1661457191697, 1661457284084, 1661457483547","1661457210774","1661457212039","1661457214097","1661457216302, 1661457289483","1661457217600","3, 2","4, 5","3, 2, 3","3, 2, 3","4, 5","1","2","2","4","4","2","3, 4","1","3, 2, 3, 2, 3","3, 4, 3","2","1","2","2, 3","2",9,6,4,4,"2","1","2",,,,"1661457104753, 1661457118383, 1661457133151, 1661457144009, 1661457171615, 1661457200284, 1661457254231, 1661457406143, 1661457490152","1661457167311, 1661457196512, 1661457250030, 1661457401239, 1661457484903, 1661457571551","1661457240791, 1661457395761, 1661457473880, 1661457566152","1661457234823, 1661457390295, 1661457469128, 1661457559101",10,7,5,5,"1661457090510, 1661457113936, 1661457129311, 1661457138127, 1661457149630, 1661457176911, 1661457203670, 1661457272863, 1661457409399, 1661457492759","1661457157271, 1661457181894, 1661457205790, 1661457277646, 1661457411415, 1661457494431, 1661457577744","1661457208463, 1661457284927, 1661457413071, 1661457496280, 1661457579423","1661457225183, 1661457291438, 1661457415431, 1661457498374, 1661457581167",48
100,1,2,1,2,,,,4,4,4,5,4,4,4,5,4,4,3,3,4,3,5,2,3,2,1,2,,,,,,I just compared each score to the range of the sample.,"1661457642808","1661457644687","1661457645965","1661457648005","1661457648827","1661457654177","1661457655229","1661457656524","1661457657516","1661457658728","1661457663730","1661457664506","1661457665341","1661457666173","1661457667036","1661457672797, 1661457673283","1661457674253","1661457675528","1661457676370","1661457677293","4","4","4","5","4","4","4","5","4","4","3","3","4","3","5","3, 2","3","2","1","2",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457650418","1661457659493","1661457667940","1661457678063",33
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,5,"It seemed as though all testers scored pretty high, so I decided to divide the percentiles based off what was presented. There were multiple scores in the same number range, so I grouped those together",,,,,,,,,,,,,,,,"1661457655335","1661457668738","1661457670154","1661457665040","1661457663387",,,,,,,,,,,,,,,,"4","3","3","4","5",,,,,"2","2, 1","2",,,,,,,,,,,1,,,,"1661457672029",5
100,1,2,1,2,,,,5,4,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,,,,,,I just tried to understand where each number would fit into the different percentages. ,"1661457683041","1661457685888","1661457690731","1661457693217","1661457694359","1661457701705","1661457704354","1661457705377","1661457708993","1661457712413","1661457715673","1661457717959","1661457718606","1661457720822","1661457722764","1661457726354","1661457727614","1661457728031","1661457729161","1661457730045","5","4","3","4","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","3",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457696675","1661457713426","1661457724621","1661457730615",4
100,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,I'm not the greatest at math but I tried to use the previous models in comparison to these larger amounts and approximate the percentages.,,,,,,,,,,,,,,,,"1661457627577","1661457636895","1661457644112","1661457644783","1661457646959",,,,,,,,,,,,,,,,"4","4","3","3","3",,,,,"2, 1","2","1","1, 2","1","1, 2",,,,,,,,1,,,,"1661457671332",32
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,"I began with dividing the percentages up on what a normal point system would be. For example, scores between 0-60 were 0-20%, 61-120 were 20-40%, etc. Then I just chose based on that ",,,,,,,,,,,,,,,,"1661457544735, 1661457612316","1661457547237, 1661457621072","1661457624855","1661457626678","1661457628274",,,,,,,,,,,,,,,,"4, 5","3, 4","4","4","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457634292",54
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,3,5,The nth percentile of a set of data is the value at which the n percent of the data is below it.,,,,,,,,,,,,,,,,"1661457506424, 1661457547870","1661457507637","1661457511957","1661457522878","1661457538710",,,,,,,,,,,,,,,,"3, 2","4","4","3","5",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457556900",7
100,1,2,1,2,,,,5,3,4,5,2,1,3,5,4,5,3,2,4,3,4,5,4,4,2,3,,,,,,I based this on how standarized tests in schools are often scaled. Typically 270-280 is very high. 220 and below is the low end. I based it on this scale.,"1661457623261","1661457631178","1661457626161","1661457618563","1661457633761","1661457665509","1661457660991","1661457649743","1661457654693","1661457645644","1661457694059","1661457695291","1661457682839","1661457690060","1661457677359, 1661457678542","1661457704058","1661457705893","1661457707575","1661457709275","1661457711076","5","3","4","5","2","1","3","5","4","5","3","2","4","3","5, 4","5","4","4","2","3",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457638555","1661457668719","1661457697672","1661457712269",51
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,5,"it's a bell curve, an uniform distribution. 64% of the scores will fall within 1 sigma, which I estimate that the range would be somewhere between 100 to 200. Therefore the scores over 200 would be 18% higher, so more or less in the 60 - 80 - 100% percentiles",,,,,,,,,,,,,,,,"1661457653929, 1661457660563","1661457664462","1661457666412","1661457671863","1661457674148",,,,,,,,,,,,,,,,"5, 4","4","3","4","5",,,,,"2","2, 1","2",,,,,,,,,,,1,,,,"1661457675283",90
100,1,2,1,2,,,,5,4,5,5,5,3,5,3,5,5,5,3,3,4,5,3,5,4,4,5,,,,,,"I multiplied 80*3 in my head and got 240, then placed everything over 240 in the 80-100 category. I did the same with the lower categories.","1661457738484","1661457744496","1661457748778","1661457749805","1661457750854","1661457769378","1661457771863","1661457773991","1661457777048","1661457779854","1661457783257","1661457783976, 1661457784590","1661457786019","1661457787598","1661457789188","1661457791976","1661457793864","1661457795149","1661457796297","1661457797725","5","4","5","5","5","3","5","3","5","5","5","2, 3","3","4","5","3","5","4","4","5",,,,,"2","1","2",,,,,,,,1,1,1,1,"1661457760910","1661457781279","1661457790030","1661457798590",97
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,2,3,"Since I only had a few data points, I picked the median value and reasoned that it is likely close to the median. Then, I looked at the spread of the points and took a guess as to which bins each point would go into. If the points were normally distributed, I would expect about 3 of the points to fall within a small uncertainty range, and the remaining points to be marginally further away. However, the bins are discretized, so it's hard to make a decision of how this spread maps onto the percentile bins without computing the standard deviation for instance.",,,,,,,,,,,,,,,,"1661457616183","1661457610827, 1661457615462","1661457609201","1661457591014","1661457600542",,,,,,,,,,,,,,,,"4","2, 5","2","2","3",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457619390",85
100,1,2,1,1,2,1,2,4,3,5,2,1,2,3,1,4,5,2,1,4,5,3,4,3,2,4,5,,,,,,I kind of tried to put them in the right category based off of highest scores to lowest scores.,"1661457644502","1661457653456","1661457632055","1661457659486","1661457660791","1661457680135","1661457678398","1661457681911","1661457674038","1661457670070","1661457702476","1661457703903","1661457692886","1661457690774","1661457699678","1661457789694","1661457798016","1661457799783","1661457781869","1661457776551","4","3","5","2","1","2","3","1","4","5","2","1","4","5","3","4","3","2","4","5",,,,,"2","1","1","2","1","2",,,,,1,1,1,1,"1661457661863","1661457683977","1661457706402","1661457801969",18
100,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,I based it on 300 being the maximum and how close these numbers were to it. ,,,,,,,,,,,,,,,,"1661457788137","1661457793920","1661457799070","1661457801269","1661457804737",,,,,,,,,,,,,,,,"4","4","3","3","3",,,,,"2","2","2","2","1","2",,,,,,,,1,,,,"1661457807958",43
100,1,2,1,2,,,,4,3,3,4,4,3,3,2,3,3,3,2,2,2,2,3,4,1,1,1,,,,,,"I tried to think of how many scores fell closer to 200 or 300, as all scores seemed to be over 200. Thus I saw 200 as sort of the ""0%"" and 300 as sort of the ""100%"".","1661457744008","1661457748520","1661457751676","1661457753066","1661457754006","1661457758304","1661457760731","1661457762474","1661457766268","1661457769259","1661457773055","1661457776055, 1661457778972","1661457779921","1661457780834","1661457782625, 1661457783390, 1661457783936","1661457787466","1661457789480, 1661457791163","1661457793781","1661457795914, 1661457796843","1661457798144","4","3","3","4","4","3","3","2","3","3","3","3, 2","2","2","3, 3, 2","3","3, 4","1","2, 1","1",,,,,"2","2, 1","2",,,,,,,,1,1,1,1,"1661457755185","1661457770305","1661457785470","1661457798881",16
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,5,2,Simply took into account the last two digits of the score and placed them where they should be based on comparing them to eachother and comparing them to the maximum score of 300.,,,,,,,,,,,,,,,,"1661457734599","1661457768898","1661457737568, 1661457738856, 1661457752457","1661457772732, 1661457778603","1661457754691",,,,,,,,,,,,,,,,"2","3","1, 2, 1","4, 5","2",,,,,"2","1","1, 2",,,,,,,,,,,1,,,,"1661457787618",95
100,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,"All of the numbers seemed to be in a small range, but I couldn't tell if that was for sure given the small pool of data. So I assigned that these scores would be average and applied that to a normal distribution. The last number was slightly higher, so I thought maybe that person did better than average.",,,,,,,,,,,,,,,,"1661457727529, 1661457747243","1661457734396, 1661457746341","1661457740898, 1661457745333","1661457753390","1661457755988",,,,,,,,,,,,,,,,"4, 3","4, 3","4, 3","3","4",,,,,"2","1","2",,,,,,,,,,,1,,,,"1661457756778",24
